Transaction date,Transaction type,Investment name,Shares,Amount
Dec-31-2025,REINVESTMENT REINVEST @ $1.000,FIDELITY GOVERNMENT CASH RESERVES,13.10,-$6.90
Dec-31-2025,DIVIDEND RECEIVED,FIDELITY GOVERNMENT CASH RESERVES,-,$8.70
Dec-31-2025,NON-RESIDENT TAX DIVIDEND RECEIVED,FIDELITY GOVERNMENT CASH RESERVES,-,-$1.31
Nov-12-2025,YOU SOLD,ACME TECHNOLOGY INC. COMMON STOCK,-15.00,$1725.00
Oct-10-2025,JOURNALED CASH WITHDRAWAL,-,-,-$7800.00
Oct-10-2025,YOU SOLD,ACME TECHNOLOGY INC. COMMON STOCK,-65.00,$7800.00
Sep-15-2025,YOU BOUGHT ESPP### AS OF 09-15-25,ACME TECHNOLOGY INC. COMMON STOCK,70.00,-$4900.00
Jun-16-2025,YOU BOUGHT RSU####,ACME TECHNOLOGY INC. COMMON STOCK,40.00,$0.00
Mar-31-2025,REINVESTMENT REINVEST @ $1.000,FIDELITY GOVERNMENT CASH RESERVES,9.05,-$4.80
Mar-31-2025,DIVIDEND RECEIVED,FIDELITY GOVERNMENT CASH RESERVES,-,$6.20
Mar-31-2025,NON-RESIDENT TAX DIVIDEND RECEIVED,FIDELITY GOVERNMENT CASH RESERVES,-,-$0.93
Feb-18-2025,YOU SOLD,ACME TECHNOLOGY INC. COMMON STOCK,-25.00,$3375.00
